input_string,lewd,offensive,intent,group
"Kiss IMO this conductor, it's 4:30 AM have some courtesy you bitch.",N,Y,Y,N
@EvanBecker513 what are you doing bitch,N,Y,Y,N
"RT @WorkaholicBlake: *How girls become friends* Omg, I love your shoes *How guys become friends* Excuse me sir,I see u fuck bitches. I,...",N,N,N,N
"RT @ItsGirllCode: reasons to be a mermaid:  - no periods - no pants - perfect hair - u get to lure men into their death  also, free clam bra",N,N,N,N
"give them bitches good head, i can assure you they will be back ^_^ ; )",N,N,N,N
Lmao he left that bitch&#128514;&#128514;&#128514;&#128514;,N,Y,Y,N
Bruh this niggah always falls asleep! &#128530;&#128529;,N,Y,Y,N
&#8220;@Condeezy3: What to do after the game....home alone and nothing to do...someone come chill?:) maybe go swimm&#8221; ima do ya bitch,N,N,N,N
@maddieevaans u call ur bestie a bitch I'm guessing she's a dog that barks too much,N,Y,Y,N
Take off you fucking hoser!,Y,Y,Y,N
I really committed to fucking with the richest of bitches,N,Y,Y,N
Tired of these niggas turning females into stuck up bitches,N,Y,Y,Y
Fuck da bulls and your trash ass music nigga &#8220;@FREDOSANTANA300: Fuck da Cavs&#8221;,N,Y,Y,N
RT @FatSlutty_xXx: My ex bitch keep tryna be my next bitch.. when she called me tha other day i told her GIVE IT A REST BITCH,N,Y,Y,N
RT @ChamsFace4music: Early bird catches the worm people,N,Y,Y,N
Oreos and ho hos put into milk...,N,N,N,N
Plot twist I fucked your bitch,Y,Y,Y,N
RT @SarcasmLeague: Somewhere in the world some bitch is ordering roses for herself so she doesn't look like the lonely bitch at the office,N,Y,Y,N
feel like im at home when im in dis bitch,N,N,N,N
RT @Lydsortiz: Can't treat these hoes like ladies man...,N,Y,Y,N
"Is that the remix? ""@breezyfrmdablok: these hoes ain't lawyers! &#127908;&#128553; lmao my fave Chris Brown song""",N,N,N,N
I like a cool bad bitch. She know she sexy but her attitude is like ehh whatever &#128533;&#128530;,N,Y,Y,N
RT @finlife54: @Vontey_isa_boss &#127797; bitch lol,N,Y,Y,N
"Women want a Best Man Holiday type of nigga meanwhile you have mad THOT pics on ya gram talking about ""this could be us"" bitch die",N,Y,Y,Y
this ho on Lifetime cray,N,N,N,N
"Nigga fuck hoe, ion want fuck yo hoe, she a fat chick &amp; she bad built &#128080;",N,Y,Y,Y
same hoe that said i couldnt get it tryna kick it,N,Y,Y,N
And just like me that bitch loaded.,N,Y,Y,N
@LegsForDayyys fml both or half breed ex at the gym. Ugh,N,N,N,N
@RoyallyKate So says the one who fills an empty hole inside herself by worshiping a royal. Who 4 all u kno may be a raging snotty bitch,N,Y,Y,N
RT @If_ItAint_B: Miami isn't a good city at all...don't believe the shit you see on TV that city is trash.,N,Y,Y,N
"this lady is probably like ""what the fuck does this bitch listen to""",N,Y,Y,N
RT @ItsFoodPorn: Oreo Ice Cream Sandwiches http://t.co/8ha6Xac0h5,N,N,N,N
"RT @Herman_NYRBlog: Yankees shouldn't even bother to show up to Boston, man. Just fold the franchise. Cancel baseball.",N,N,N,N
Fuck what you think. I think them bitches produced the FUCK outta some shit.   Telling you I STILL rock out to the vast majority of No Skits,N,Y,Y,N
You can't call a bitch a bitch if you're a bitch,N,Y,Y,N
@Shitter_Gape @OptimisticDoom  Hey...hoe di doe...dat is funny if its da girl,N,N,N,N
RT @NikoWavy: Men suppose to accept that they girl look like a piece of shit with no makeup but a ugly nigga can get a look? Lol ok bitch,N,Y,Y,N
Shoot that nigga an his shorty bitch.,N,Y,Y,N
Fuck wit us and we tweakin hoe,N,Y,Y,N
"&#128514;&#128514;&#8220;@BrandonBeSlydin: My fucking god bruh, the birds from southridge are in front of my house.&#8221;",N,N,N,N
But yall niggas wanna call these women hoes when they leave you for a nigga that appreciates her. Fuck you lil niggas.,N,Y,Y,N
"LMFAO, stupid bitch tells me at the door they already started, and to come back.&#128514;&#128514; UMMMM NAH",N,Y,Y,N
Stupid bitches&#9995;&#128529; &lt;&lt;&lt; FUCK. &#128530;,N,Y,Y,N
&#8220;@MILF_chronicles: Dudes shaving without it being for an athletic purpose is gay af&#8221; you're retarded.,N,Y,Y,Y
@NeoDaRegularGuy Oil? who said sumthin bout oil? bitch you cookin?,N,Y,Y,N
"When the bitch playes with your emotions, an won't let you date. That's the moment where i wanna kick her straight in the vagina.",Y,Y,Y,N
"So, are the Olympics over in Brazil yet or what? I mean, yay sports! What? Stop looking at me like, &#8220;What are you, queer?&#8221; #GoRedskins?",N,N,N,N
"@7aidualc9 u said ""@ me hoe"" &#128514;&#128514;&#128514; so I did...",N,Y,Y,N
These bitches fake one min talking about a hoe next min bestfriends with the hoe,N,Y,Y,N
Hell yeah that bitch gon' go ham,N,Y,Y,N
"If you like the 24k gold rillos, your a pussy",Y,Y,Y,N
"He died for a reason RT @ShyThugg: ""@viaNAWF: I didn't follow you back cuz you fat, bitch. Foh large hoe."" Jesus ain't pleased fam",N,Y,Y,N
RT @PhuckedFame: Thick red bones in style or nah? &#127817; http://t.co/Cfhis3L8bT,N,N,N,N
RT @__queenshaun: &#8220;@JuicelessEss_: If you ask me every bitch gay.&#8221; true dat true dat,N,N,N,N
@GwendolynC28 thanks nig&#128540;,N,Y,Y,N
Hate a female that got the mentality of a niggah.,N,Y,Y,N
RT @HBCUfessions: Us dykes get more play than most niggas! -FAMU,N,Y,Y,N
"Can someone please explain to me, Why are the birds so angry &amp; destroying pigs' homes?",N,Y,Y,N
RT @RamonRoblesJr: Good morning Baton Rouge. @ajohnson_a having a nip of @MBMoonshine http://t.co/5JZH1BhWWk,N,N,N,N
RT @Guwopp1017: Bullying doesn't exist.....BITCH ASS PEOPLE EXIST! If you don't stand the fuck up for yourself &amp; stop being a pussy!,N,Y,Y,N
Delete this! Lmao RT @SedSince81: bruno mars and el debarge both cop blow from the same nicca....but don't mind me tho,N,N,N,N
@_Dbankss orr why? Thts my lor bae tho wyd why u fucking up hoe?,N,Y,Y,N
"RT @O_MyGotti: you have a girlfriend, stop asking these hoes to be your bestfriend.",N,Y,Y,N
If I fuck a nigga bitch ima just record it an keep fuckin her til she play dumb then ima have to show him,Y,Y,Y,N
"I figured that if hoes wanna play games, fuck em and leave em :)",Y,Y,Y,N
@ItsmeKyleWayne Yeaa black bitches actin like they too good for an average nigga like they just got A1 credit and pussy,N,Y,Y,N
"RT @iPreferAriPlz: Every time a Black woman says ""oh bitch"", I smile.",N,Y,Y,Y
Gtta fly bitch and she stand out!,N,Y,Y,N
"I'll stop drugs, alcohol, fags, sluts for you. Just give me a chance. It's been a year and I feel the same, that clearly means something.",N,Y,Y,N
RT @OhArias: I make the pussy cringe http://t.co/LNB2UXXQem,Y,Y,Y,N
@Swagner_813 thanks ya fucking hoser,N,Y,Y,N
I really don't be pressed for bitches on social media...  Do I talk to them? yes.   Do I want them..... http://t.co/6wKvVpsXqP,N,N,N,N
@erinscafe Bu I do. I do hate the playa. And the Yankees. If I hate the Yankees for their payroll I have to hate the Dodgers.,N,N,N,N
------&gt;RT @Maxin_Betha @HumbltonBanks ankle socks in general are for the faggots bro,N,Y,Y,N
@kliontiii @yfly23 lol tell Liv none of her usual redneck hillbilly places an none of ur black gangsta places either,N,Y,Y,N
"@joh2guy I LOVE RACISM! ""Blame whitey"" for EVERYTHING! Now that you mention it! I bet the white man put the Desert tortoise on #BundyRanch",N,Y,Y,N
CNT nobody be mad at who he choose to be with I can't be mad at no bitch its the nigga so hay,N,Y,Y,N
She burned that bitch,N,Y,Y,N
RT @FleeBiscuit: Girls with anchor tats are hoes,Y,Y,Y,Y
"Dear God, forgive us for a moral slope of values. Shacking is just a pretty word for perpetual fornication. Let's... http://t.co/h0URrTNDfZ",N,N,N,N
yo bitch whippin in the early morning,N,Y,Y,N
RT @CauseWereGuys: When you marry a hoe and only realize it 20 years later http://t.co/BIDlPEOA3P,N,Y,Y,N
This is fucking retarded,N,Y,Y,N
"@heyrmbr I never played Halo, too busy slaying bitches",N,Y,Y,N
I'm fucking around with two bitches but i never made those hoes my mistress,Y,Y,Y,N
RT @RackedUpShad: Bitch had me and my car all the way fucked up! &#128545;&#128548; had to cuss a bitch out via note! http://t.co/PKxB40JTTO,N,Y,Y,N
Got ketchup on my swim trunks... Sum bitch,N,Y,Y,N
"RT @ImNeverChillin: Niggas drop outta high school &amp; get a job at McDonalds talkin bout ""on my grind"" lmao okay, GRIND me up a Oreo Mcflurr&#8230;",N,N,N,N
Niggas be bitches hoes be bitches ion see no difference,N,Y,Y,Y
"@WolfgangAbedeus Your bitch called, she was missing this dick",Y,Y,Y,N
Leave the bitchen to bitches,N,Y,Y,N
My tail just said he dropped 20k to pay off the last of his student loans and clams he is broke. Nigga u just dropped 20k like its nothing,N,Y,Y,N
"@MIKEB_IN_THE_D you don't want to battle, you shook cause ain't no such things as half way crooks....bitch",N,Y,Y,N
RT @TDill11: These hoes ain't got nothin' on ya &#127926;,N,Y,Y,N
@David_Hunninck all bitches eh. hahah,N,Y,Y,N
RT @A_single_bear: I accidentally ate a few fireflies last night while chewing some leaves I found. The shameful yellow glow of my mouth wa&#8230;,N,N,N,N
"RT @BJayBlast: I love my family, but I wouldn't even need water to pop that Red Pill. That hoe is getting taken swiftly. http://t.co/wtXEOm&#8230;",N,Y,Y,N
RT @PatVPeters: Texas ranchers: Terrorists reportedly caught at border; feds clam up http://t.co/1vynD9zbpH,N,Y,Y,N
You losing 0-3 @sterling31 and that's what u trying to do? Stupid yardie,N,Y,Y,N
This bitch has two jobs and is starting school on the 26th. #fuckwhatyouheard,N,Y,Y,N
RT @angelalonz: I feel bad for these young girls that are already hoes.,N,Y,Y,N
Pussy's don't get pussy.,Y,Y,Y,N
#HellYeah RT @BaconGawd #No RT @HuffingtonPost Happy Fall! Pumpkin Spice Oreos are here http://t.co/2prvsKantE http://t.co/hleYm0YC29,N,N,N,N
@Dswizzle3 bitch im real nigga the fuck u mean weak ass nigga i do me i dont pretend to be someone im not so u can shut that shit up fuk boy,N,Y,Y,N
"""I guess this is the night bitches die...!!!!"" Stewie is that nigga...!",N,Y,Y,N
Beautiful Fairy Elegant Dress http://t.co/ouxWbYTUt6,N,N,N,N
RT @JZolly23: Kickin trash cans on the golf cart #yeeyee @weidie1211 @mowder03 @JBilinovich @cmnw86,N,Y,Y,N
Always thought golden Oreos were the same as original Oreos but oh my god I just climaxed,N,N,N,N
"@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard &amp; disperse this trash. @bassem_masri",N,Y,Y,N
"Disturbing: feeling pressure from #ISIS fanboys, Al Qaeda fanboys resort to celebrating 9/11 to reclaim their Jihadi bona fides",N,N,N,N
Niggas be in they feelings when they find out their hoe fuckin another nigga #StopSavinTheseHoes,N,Y,Y,N
Rev. Charlie Rangel: What Unions Stand For Are &#8220;Spiritual Damn Things&#8221;&#8230; LIKE INFLATABLE RATS.    http://t.co/2nmrLDvIgB,N,N,N,N
"""@Thornton25: &#8220;@KantKeepAhBYTCH: I love eating pussy lol I never get full lol&#8221; I can eat that shit forever lol"" and ever.",Y,Y,Y,N
RT @salomanizor: Too many faggots on here that think they can address me by my first name,N,Y,Y,N
"RT @alexiswoa_: "" now i know why niggas have sides, my bitch boring """,N,Y,Y,Y
"RT @Matty_Kem: My favorite shark is megaldon, my least favorite is a mud shark. They are the worst",N,N,N,N
hoes in my iPhone...,N,N,N,N
Ya bitch pussy good I ain't heard it.... I been in there! &#128540;&#128541;&#128541;&#128540;,Y,Y,Y,N
"RT @eternalhbic: porno hoes funny af bc they'll still be like ""u like this tight ass pussy"" even tho the dude been fucking for 45 minutes w&#8230;",Y,Y,Y,N
@TNKidsFoodPorn @Oreo..............&#128530;,Y,N,N,N
RT @DonApolloSan: You might have a lot of followers bitch but a third wants to just fuck you the second third would hate your personality. &#8230;,Y,Y,Y,N
Lol they tricking niccas left n right,N,Y,Y,N
Your acting like a spoiled little faggot have fun,N,Y,Y,N
"So my light was off &amp; door was closed, mom walks in turn lights on. Tells me to take trash out in the morning. then walked out.. Light on",N,N,N,N
When you see @MARGIEFAYE about to fight a bitch.... http://t.co/KZoNqkfVtB,N,Y,Y,N
RT @JustLeShay: &#8220;@TheKaosYatti: @JustLeShay Who said you was cute&#128035;&#8221; byeeee mad bitch! &#128530; come visit me,N,Y,Y,N
@Jo_clark6 @breezysofresh24 no homo bro love ya to!! Lets get some 151 an some Malibu rum!! Tech 9 this bitch haha,N,N,N,N
"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",N,N,N,N
&#8220;@staciaburbidge: fat chance you'll ever catch me drinking a beer&#8221; same bitches,N,N,N,N
Call me ghetto if you want but I'm walking to and from class with my bonnet on my hair.,N,N,N,N
"Posted a new song: """"guala"""" http://t.co/jq3RB6gyQh #music",N,N,N,N
RT @lildurk_: These bitches ain't my bitches,N,Y,Y,N
Gasoline RT @_____0__o______: 12. What did the last pussy you had taste like?,Y,Y,Y,N
RT @DanHarrison1985: &#128514; RT @CecilHurt: Charlie Strong got down to the 53-man roster nearly as quickly as Texans did,N,N,N,N
@kieffer_jason lets settle this and fight stop being a pussy,N,Y,Y,N
I looked retarded,N,Y,Y,N
@PRoseish yeah because George Zimmerman is a pussy ass coward.,N,Y,Y,N
"@MilitaryTimes That's what happens when you have pussies for presidents and generals, you have to fight the same war over and over again.",N,Y,Y,N
"When I be that pussy, I be calling you my Bitch.",Y,Y,Y,N
Stu a rape faced faggot man I'm sick of this nigga,Y,Y,Y,N
RT @TrulyCece_: Deletin emojis off a nigga/bitch contact name cos they don't mean shit to you anymore &#128514;,N,Y,Y,N
"RT @BubbaFishh: @Huntermoore @claire_mac this cunt is still talking!? Holy fuck, can you just get breast cancer already",N,Y,Y,N
i hate hoes.,N,Y,Y,N
still trash http://t.co/x0ghHf0imn,N,Y,Y,N
"RT @I_AM_YOUNGPAPER: ""@Shane_A1: @I_AM_YOUNGPAPER boy wat in dat bitch eatin lunch err other day""Im Tellin Ya",N,Y,Y,N
"""Takin it straight to dirt, why finger the pussy when I know I can put my dick in it?"" @xErnee18",Y,Y,Y,N
Yayyyy I'm gonna be jacking off to these bitches all day today http://t.co/LEmILFu1,N,Y,Y,N
Yas bitches http://t.co/yey8ml5snK,N,Y,Y,N
RT @DragonBallDeez: *Atlanta RT @PacDaGoat: Houston has so many trash drivers,N,Y,Y,N
RT @littlemspaige_: All my bitches bigger than me they where sizes 9-11&#128514;&#128514;&#128514; so I can't fit they shit I'd looked dumb af,N,Y,Y,N
"She has zebra tights in her take home bag, me and my mom are just &#128525;",N,N,N,N
somebody take these Oreos away from me before I eat the whole pack,N,N,N,N
Next Sunday faggot @leiacatherinexx,N,Y,Y,N
Jaime dont make me look like a bitch lmao,N,Y,Y,N
RT @ThePartyCodes: If my jokes offend you:   1. I'm sorry  2. It won't happen again  3. 1 &amp; 2 are lies  4. You're a pussy,N,Y,Y,N
RT @JustHad_that: Good pussy &#128166;&#128049; comes with a smart ass mouth &#128068;&#128069; &amp; a crazy ass attitude &#128530;&#128175;,Y,Y,Y,N
Code of slience pussy! HM nigga free my nigga ceddy. d ridah. quan. dollah. Dre n my nigga franc lukis n my nigga j mo,Y,Y,Y,N
"which one of these names is more offensive kike, wop, kraut, wetback jigaboo, towelhead, gook, or redskin.",N,Y,Y,N
"RT @JoshYohe_Trib: I wrote whole game story on how Orpik shut down Ovi two nights in a row. Many of you will mock this. But he was really, &#8230;",N,N,N,N
Vanessa is such a fuckin faggot.,N,Y,Y,N
Shara fuck you in Ya pussy. You know what I meant MF.,Y,Y,Y,N
Charlie Furbush #WhyDidIGoogle @midnight,N,N,N,N
RT @TroyMadden: I guess it's cool to just walk around with ya titties out in a see-thru top? Shit.. if these hoes ain't trippin' how can I,N,N,N,N
RT @yo_fav_rapper: I was HEAD FIRST EVERY TIME FOR YOU.. but now I'm pussy?&#128533;,Y,Y,Y,N
@DrMalvo  I likes it back dare. It's free fo me cause whitey pay da fee,N,N,N,N
RT @FuckTraVonn: Niggas madd gay RT @CirocBwoy_: teachers giving niggas pussy and they snitching. incredible,Y,Y,Y,Y
"RT @michellemalkin: Good morning to you, too, sunshine! RT @miembrotropa: @michellemalkin dirty bitch",N,Y,Y,N
Switcharoo on yo main bitch me and my NIGGGA hell naw we don't date hoes,N,Y,Y,Y
"Female Jihadis, European &amp; American: GRAVE Dangers! - Joe For America http://t.co/9hkpdwq7VR via @mattwalshblog",N,N,N,N
"Bitches be watching me from other bitches pages; THATS RIGHT BITCH, TEAM WORK &#128079;&#128079;&#128079;",N,Y,Y,N
Niggas be so dehydrated if I wanted my pussy ate everyday for the rest of this year it would happen,Y,Y,Y,N
I beat the pussy up- yg,Y,Y,Y,N
#OOMEF had that YEAH!!... i kno she pussy whipped that other nigga into putting a ring on it.... &#128564;&#128564;,Y,Y,Y,N
"shid, I thought it was legal to beat yo hoe.",N,Y,Y,N
RT @Drrake: But she a hoe tho right? &#128564; http://t.co/gLe9rsfkwJ,N,Y,Y,N
"The clips hang down to the dick.. That's a automatic shotty from a drum they call tommy, guarantee to get you bitches from by me",Y,Y,Y,N
"RT @JoeCool_TVC: You can't be a hoe saying that another girls a hoe. Your both hoes, it cancels each other out.",N,Y,Y,N
@ovoxokatie hoe stfu,N,Y,Y,N
Hell naw we don't fuck wit no phonies you can tell yo bitch we some young rich homies!,N,Y,Y,N
@Hi__________Bye omfg or the other pics of the tranny lmao,N,N,N,N
RT @TasteMyGayness: Sharing is not caring.... Back tf up bitch,N,Y,Y,N
@Laurenlablue11 basically we ain't got room for basic bitches.,N,Y,Y,N
@Zhugstubble meet up eat bitch,N,Y,Y,N
"Maybe I'll love you one day, maybe we'll someday grow. Till then just sit your drunk ass on that runway hoe.",N,Y,Y,N
"RT @Now_Thats_Fresh: Eddy Murphy,the first celebrity to be spotted in public with a Durag AND a White bitch. Monumental #DuragHistoryWeek h&#8230;",N,N,N,N
you can never get a group of hoes together witout em resorting to being hoes....,N,Y,Y,N
Happy 18th to these main bitches!!! Take it easy on the cigs! @aqfleck @rmusshy http://t.co/aa7z9X1KUw,N,N,N,N
RT @ILongDickHoes_: When bitches say that your dick game is stupid http://t.co/cW5uOqx4DS,Y,Y,Y,N
"RT @allovevie: I know it ain't good, but these hoes gon' do what they wa-wa-waaaaannnnnt.",N,Y,Y,N
Asha had a little voice in my head telling me to fuck with these hoes. Wasn't kendra &#128524;,N,Y,Y,N
@_TheBlackNerd wyd fag,N,Y,Y,N
@emmysetter14 dayum saterlyt shoz un bayg ho-ul,N,N,N,N
&#8220;@RspectMy_Pretty: If a bitch comes for me I hope she bout all that slick shit she yapping about &#128064;&#8221; Thuggin,N,Y,Y,N
I want a girl whose pussy smells like tuna,Y,Y,Y,N
"Someone let me know why Drake so cold? &#1041185;&#1041240;&#1043358;&#1043351;&#1043323; He my favorite rapper, this niggah HARD.",N,N,N,N
@KeyshawnSwag lol nigga them look like a combo of trash in your house &amp; trash at the dump,N,Y,Y,N
@raider_level them hoes ain't thick at all u clowning,N,Y,Y,N
RT @Kevin_McAdams: Stop being a little bitch and #fuckherrightinthepussy,N,Y,Y,N
They call me chief weak bitch,N,Y,Y,N
"gotta tip for the monogamous niggas, yo bitch fuckin' anonymous nigga.",Y,Y,Y,N
@triple6em96 @Hunglikerobby_ bitch you watch your fucking mouth you dirty whore. I swear to god that's a thin line,N,Y,Y,N
Guys now and days act like they don't care because pussy is easy but that's not the only thing that matters &#128079;&#128079;&#128079;,Y,Y,Y,N
"Completely off topic, idgaf about that pretty hoe tho",N,Y,Y,N
This Mexican bitch almost just hit me with her car and she sped over the speed bump JUST SO SHE COULD DO IT OMFG,N,Y,Y,N
lmao RT @latry: Nigga ran a Ponzi scheme on them hoes. http://t.co/s7aOY8AdsI,N,Y,Y,Y
"I'm Tryn tell yall brah, I went wit a slut n could not stop da bitch frm boppin dat shit scary",N,Y,Y,N
@CayMarieee bitch I'm not coming no more you said your making plans!,N,Y,Y,N
@lavalourry stfu prude ass basic ass bitch,N,Y,Y,N
I got good credit. So my bitch credit gotta match mine,N,Y,Y,N
"@stephen_taylor @jproskowglobal So they could complain about racial profiling I'm sure, bloody twats",N,Y,Y,N
A bitch can't resist a nugga with a fresh cut shit I can hardly resist myself when j get one &#128514;,N,Y,Y,N
@hazelinaaax3 @olivia_hrbek @kristiexox3 fuck Olive that bitch,N,Y,Y,N
Get the fuck over yourself fag. You're an undercover hooker and actually use weave cause you're balding. You are NOT cute.,N,Y,Y,N
"@PimpBillClinton @tareksaadmisr that's Arabic for ""you one pussy gettin motha fucka""",Y,Y,Y,N
@MrMooncricket @RacistNegro69 rape? Of course.. The only way you could get pussy. Smh,Y,Y,Y,N
LMAO RT @80sbaby4life RT @HumbltonBanks: Yes &amp; no RT @ChannyMaraj Is it ok to beat a bitch up over some tweets or nah? http://t.co/gmcyHDtB,N,N,N,N
"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""  Lmfao",N,Y,Y,Y
@HeavensWay_ 2nd and last time I'll ever call you that faggot,N,Y,Y,N
RT @TrueNovacane: Only pussy niggas wouldn't fuck with a chick if she has stretch marks..,Y,Y,Y,N
"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488",N,Y,Y,N
@atownbrown08 @CarmineZozzora LOL that hasn't worked well for black folks in the past. They better bring a few crackers with um.,N,N,N,N
I'm the biggest redskins dam right now if they get this stop,N,Y,Y,N
@kieffer_jason i swear u a fuck nigga u a scary little bitch u think this a game huh?,N,Y,Y,N
@CapoDaAssHole @Alejandro_Bihhh lmaooo niggas ain't but hoes is I think I'm winning,N,Y,Y,N
RT @Donnie_Blow: &#8220;@_100d: Having a bitch ain't goofy. Having bitch dat ain't loyal is&#8221; &#128588;&#128175;,N,Y,Y,N
RT @TattedPapiChulo: Having a real bitch by your side and holding it down for you is a blessing &#128591; For Real.,N,Y,Y,N
RT @thesexiertwin: Making today my bitch &#128520;,N,Y,Y,N
@youngchug nah Bama fans ain't finna have a nigger running the offense.,N,Y,Y,Y
"My bitch bad, she from the islands.",N,Y,Y,N
RT @KeyshBeChillin So yams are ass or pussy?,Y,Y,Y,N
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",N,Y,Y,N
@nathirhussein Al Qaeda's market share is dropping faster than Viacom &amp; Enron in the Jihadi stock market,N,N,N,N
"done with all the riff raff, bitchin with your bitch assss",N,Y,Y,N
RT @Persianboi10: #YesAllMen these hoes ain't loyal,N,Y,Y,N
@marcostc__ niggas be pressed 4 pussy it ain't nuthin instead of worrying who dat bitch fucking  why don't u get chu sum money,Y,Y,Y,N
&#8220;@BSBHForum: #BeatTheHabs #NYR http://t.co/okvhWHy3Vh&#8221; @CanadiensMTL #pussy,N,N,N,N
@Tylar____ ion sneak diss on broke bitches &#128530;&#128079;,N,Y,Y,N
On the secret Party mission! Live tweaking to mock FATPO.,N,N,N,N
&#8220;@Untouchable_T: Ion care about none of these bitches&#8221;&#128175;&#128175;&#128175;,N,Y,Y,N
These niggas be actin like bitches,N,Y,Y,N
"RT @crystalcheyenne: @WhiteboiColeman thought you were sleeping, bitch &#191;",N,Y,Y,N
The homiez bitches like my homiez,N,Y,Y,N
"""But I need a bad bitch that's hotter than me"" might be the realist shit PartyNextDoor ever said. That's how I be feelin everyday",N,Y,Y,N
RT @AmPowerBlog: @velvethammer Parent in Phoenix Says Administrators Made Her Son Wear Pink Fairy Wings on First Day of High School http://&#8230;,N,N,N,N
All a nicca need is time.. #BePatient,N,N,N,N
RT @MsKeShera_: these bitches be sending shots but be missing me ian been @'d yet you cant be dissing me!,N,Y,Y,N
Taught ma lil niggah how to treat a girl,N,Y,Y,N
@CeeRoss negro please...I got a job now lmao,N,Y,Y,N
@CSVNDY i wanna be that white nigga chillin in my mini cooper just throwin money at bitches,N,Y,Y,N
Gucci cut throat use to stay next door his kenfolk limousine bitch pouring up ya rent money,N,Y,Y,N
RT @ClassierTrash: shut up bitch,N,Y,Y,N
RT @thewayoftheid: Viola Davis sans wig is still stuntin on you hoes in the most classically beautiful way. #HTGAWM,N,Y,Y,N
"&#8220;@sammyk1429: ""I am not a bitch, I am the bitch. So that is Ms. Bitch to you!"" &#128540;&#8221;",N,Y,Y,N
@asiahh__ nah I replied to you like I did to literally everyone else who called it trash... Go and check if you don't believe me,N,Y,Y,N
"""We're out here, and we're queer!"" "" 2, 4, 6, hut! We like it in our butt!""",N,N,N,N
Iont got no type bad bitches is the only thing that I like,N,N,N,N
@BettinaVLA @9975Ts @SenWarren She's just another straight-up conscienceless liar. Soulless criminal trash.,N,Y,Y,N
"Fuck you faggot ""@Aloha_Hoesss: Grow up RT @80sbaby4life I'm gonna be an old ass man STILL playing video games""",N,Y,Y,N
RT @duttyOGshake: for real this game is pub trash let's do drugs and get smashed,N,Y,Y,N
"Im trying to take the word ""bitch"" outta my vocabulary, hardest shit ever",N,Y,Y,N
"""@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;",N,N,N,N
RT @BJayBlast: Damn near in love with all them hoes when I'm with em.,N,N,N,N
"@dolphrudager Only one current Yankee sells! Only one current BoSox sells! Only ONE player on each L.A. team sells! Most teams have 0, yeah.",N,N,N,N
"@_cblaze @Barbod6FCB @ODDBEAST Man bitch am not gonna do a damn thang, if u don't like what I got to say then unfollow me",N,Y,Y,N
I once tried to be everything this bitch said she wanted in a man... That shit didn't get me anywhere.,N,Y,Y,N
You a hoe and errbody know,N,Y,Y,N
RT @HoeFact: Don't trust these hoes http://t.co/03SoHP4P41,N,Y,Y,N
RT @shayconnnor: u ain't sailor moon bitch,N,Y,Y,N
Bitches can't fuck with my bitches they deadly,Y,Y,Y,Y
"RT @sugaarCanee: Hoes be like ""go talk to one of your hoes"".... I be like ""you are one of my hoes""",N,Y,Y,N
RT @hash_no_tags: bitches be handin' out neck like free chinese food samples at the mall and go to bed every night wondering why they ain't&#8230;,N,Y,Y,N
"""I will fuck u where u stand"". ""U dizzy bitch"". Two unique &amp; separate phrases I overheard a relative saying when I was younger.",Y,Y,Y,N
Up and let the heat pop bitch,N,Y,Y,N
RT @Zubiaa_3o3: You can't take no ones bitch.,N,Y,Y,N
"They trying to hoe Todd gurley, Johnny manziel signed them helmets and got off but suspend gurley the rest of season",N,N,N,N
RT @POONsoaker: You retarded if you say Birdmsn don't go hard.,N,Y,Y,N
I'm in Vegas bitches http://t.co/JgPiw1kDer,N,N,N,N
RT @Liveitupjersey: @1SleepingGiant @ccass357 The only thing that cunt talked about was me crying about the traffic jam. Knows nothing abou&#8230;,N,Y,Y,N
@carlybaejepsen trash,N,Y,Y,N
"RT @iluvdrugz: if a bitch dont act crazy over you, she dont really want you. &#128080;",N,Y,Y,N
You a lame ass nigga still cuffin these hoes my bitch got a bitch with er,N,Y,Y,N
Believe in the heart of the cards bitch.,N,Y,Y,N
@realffriends bitch I might be **~aesthetic~** http://t.co/cYOpCv8oq8,N,Y,Y,N
@_CaliStrong - lol it's possible that a hoe can treat you the right way but will she love you the right way? No. A hoe will be a hoe.,N,Y,Y,N
RT @WowSoPunny: Freeze bitch i'm gonna steal your heart http://t.co/zlOaj7tjY6,N,Y,Y,N
RT @KoolQueef: I gave up calling my wife a nigger during sex for lent.,Y,Y,Y,N
Text me with plans nigs,N,Y,Y,Y
Miss ma niggah leo,N,Y,Y,N
Kentucky Fried cater to da white folk. No colored menu,N,Y,Y,N
@tupacselenas hey bitch imy,N,Y,Y,N
RT @jaxx_staxx: &#8220;@baranosky_: 1 day down 39 more days with out pot #lent&#8221;your a faggot,N,Y,Y,N
me loving a hoe is ah No No,N,Y,Y,N
